#{"t_start": 1756031459.35525, "env_id": "None"}
r,l,t
0.0,107,646.618045
0.0,14,646.692755
0.0,13,646.73109
0.0,44,646.813407
0.0,61,647.142912
0.0,55,647.211149
0.0,13,647.244972
0.0,13,647.340179
0.0,28,647.431375
0.0,48,647.701527
0.0,22,647.862285
2.0,227,647.99886
0.0,18,648.132503
0.0,212,648.291817
0.0,20,648.434856
0.0,58,648.55386
0.0,118,648.747912
1.0,182,648.791703
0.0,37,648.860297
0.0,5,648.908665
1.0,15,648.919773
0.0,28,648.986943
0.0,68,648.998925
0.0,39,649.247592
0.0,33,649.275554
0.0,36,649.295686
0.0,6,649.33674
0.0,11,649.394801
0.0,62,649.445295
0.0,27,649.48817
0.0,2,649.511244
0.0,14,649.581691
0.0,25,649.637484
0.0,24,649.865448
0.0,45,649.997992
0.0,4,650.033752
0.0,28,650.241353
0.0,106,650.261553
1.0,120,650.520746
2.0,90,650.568238
0.0,7,650.622552
0.0,3,650.651754
0.0,72,650.808059
0.0,31,650.884914
0.0,89,650.93105
0.0,3,650.956645
0.0,18,650.956704
0.0,1,650.968523
1.0,70,651.065979
0.0,55,651.30119
0.0,48,651.340126
0.0,39,651.374134
1.0,53,651.374191
1.0,14,651.473192
0.0,10,651.557217
0.0,33,651.578473
0.0,51,651.759103
0.0,6,651.808833
0.0,64,652.036907
0.0,12,652.124922
0.0,109,652.1685
0.0,81,652.187536
0.0,15,652.248305
0.0,3,652.273857
0.0,23,652.361253
0.0,84,652.441845
0.0,39,652.467322
0.0,8,652.506785
0.0,6,652.557281
0.0,27,652.582518
0.0,42,652.618557
0.0,26,652.775486
0.0,47,652.849397
0.0,13,652.888405
0.0,20,653.009978
0.0,29,653.230421
0.0,21,653.432374
0.0,121,653.579726
0.0,21,653.61237
0.0,10,653.664009
0.0,3,653.690102
0.0,4,653.722902
0.0,1,653.741389
0.0,144,653.801784
0.0,3,653.82755
1.0,28,653.853164
0.0,1,653.865053
0.0,5,653.915936
0.0,13,653.948296
0.0,155,654.160254
0.0,58,654.199637
0.0,6,654.211762
0.0,2,654.230628
0.0,3,654.25623
0.0,6,654.31487
0.0,14,654.333744
0.0,52,654.383254
0.0,80,654.558489
0.0,7,654.611846
2.0,23,654.786139
0.0,11,654.866803
0.0,90,655.056576
0.0,3,655.088868
0.0,30,655.150942
1.0,117,655.320523
0.0,35,655.390165
0.0,141,655.49179
0.0,3,655.530349
0.0,57,655.79718
0.0,1,655.808818
0.0,5,655.84863
0.0,2,655.874126
1.0,109,656.034829
0.0,1,656.047702
0.0,90,656.216886
0.0,25,656.236305
0.0,7,656.290344
0.0,17,656.350242
0.0,64,656.36227
0.0,16,656.426746
0.0,9,656.445544
0.0,3,656.471485
0.0,4,656.503828
0.0,3,656.543801
1.0,190,656.909038
0.0,12,657.002226
0.0,4,657.038026
0.0,8,657.098708
0.0,4,657.138015
1.0,102,657.234126
0.0,111,657.396661
0.0,21,657.396752
0.0,6,657.447184
0.0,2,657.467172
0.0,25,657.6707
0.0,233,658.294457
0.0,83,658.403824
0.0,6,658.450043
0.0,172,658.57258
0.0,54,658.780067
0.0,172,658.914133
0.0,19,658.939905
0.0,12,659.046545
0.0,68,659.088722
0.0,7,659.14666
0.0,5,659.196213
0.0,3,659.229202
0.0,71,659.26857
0.0,7,659.305008
0.0,30,753.984247
0.0,5,753.984348
0.0,3,754.012085
0.0,2,754.037519
0.0,14,754.119908
0.0,10,754.145251
0.0,31,754.208998
0.0,94,754.49487
0.0,93,755.048016
0.0,2,755.074755
0.0,2,755.095411
0.0,6,755.15633
0.0,2,755.190556
0.0,97,755.190616
0.0,9,755.454098
0.0,122,755.617227
0.0,6,755.704075
0.0,16,755.746054
0.0,10,755.843178
0.0,34,756.280719
0.0,108,756.636779
0.0,52,756.74435
0.0,103,756.88105
0.0,14,757.038625
0.0,52,757.229937
2.0,236,757.281543
0.0,61,757.485059
0.0,58,757.666542
0.0,22,757.745702
0.0,5,757.803057
2.0,54,757.956662
0.0,9,758.012418
0.0,10,758.166062
0.0,22,758.278099
0.0,12,758.500732
2.0,96,758.721431
1.0,47,759.178135
0.0,6,759.234569
0.0,122,759.275153
0.0,111,759.417937
0.0,44,759.588427
0.0,53,759.92259
0.0,147,759.955679
0.0,33,759.972178
0.0,29,760.172531
0.0,3,760.198285
0.0,114,760.237354
1.0,17,760.406688
0.0,48,760.433702
0.0,30,760.53941
0.0,2,760.56343
0.0,43,760.776104
0.0,109,760.898
0.0,24,760.951378
0.0,10,760.976786
0.0,1,760.988618
0.0,55,760.988675
0.0,11,761.040934
0.0,9,761.065604
0.0,11,761.087224
2.0,40,761.344668
0.0,7,761.39805
0.0,7,761.456734
0.0,58,761.504283
0.0,14,761.693642
0.0,25,761.742979
2.0,10,761.785024
0.0,5,761.824549
0.0,2,761.853227
1.0,13,761.866321
0.0,93,761.905504
0.0,1,761.919501
0.0,1,761.932378
0.0,215,762.20897
1.0,59,762.343626
0.0,137,762.9726
0.0,2,762.991355
0.0,97,763.003513
0.0,3,763.022921
0.0,14,763.124769
0.0,170,763.286933
0.0,136,763.415439
0.0,57,763.427324
0.0,20,763.442239
0.0,4,763.467898
0.0,46,763.492437
0.0,49,763.840163
0.0,80,764.035541
0.0,141,764.521355
0.0,160,764.722109
0.0,29,764.778783
0.0,15,764.908122
0.0,6,764.954082
0.0,3,764.98329
0.0,117,764.995367
0.0,33,765.014153
0.0,1,765.025972
0.0,26,765.190265
0.0,27,765.226889
1.0,181,765.286311
0.0,22,765.443893
0.0,42,765.504075
0.0,13,765.545908
0.0,10,765.585119
0.0,28,765.807167
0.0,40,765.860193
0.0,8,765.928688
0.0,194,766.498703
0.0,11,766.579179
0.0,28,766.830175
0.0,2,766.855442
0.0,116,766.883674
0.0,155,767.060207
0.0,6,767.108534
0.0,239,767.12754
0.0,33,767.362773
0.0,70,767.416108
0.0,82,767.492313
0.0,12,767.519069
0.0,56,767.569927
0.0,15,767.680047
0.0,2,767.705642
0.0,57,767.817311
0.0,60,768.136777
