#{"t_start": 1756398273.156778, "env_id": "ALE/MarioBros-v5"}
r,l,t
1600.0,2946,7220.386449
0.0,3696,7247.759474
0.0,4763,7281.548354
1600.0,3188,7305.362508
0.0,2120,7319.732502
0.0,2695,7343.208706
0.0,3582,7373.134753
0.0,3935,7413.14983
0.0,3196,7439.577886
0.0,2982,7460.722666
0.0,2263,7476.620716
0.0,2447,7501.861105
1600.0,4778,7549.405947
0.0,2705,7574.193833
0.0,2721,7596.171658
0.0,4412,7640.010681
800.0,3104,7670.73045
800.0,4345,7718.099897
800.0,2448,7737.345697
0.0,3349,7767.263309
0.0,2407,7789.487157
1600.0,4048,7820.278076
1600.0,5522,7872.646128
0.0,5239,7923.960479
0.0,3057,7949.703283
0.0,3244,7987.91678
0.0,4146,8029.826634
1600.0,5541,8072.694137
800.0,3326,8094.59366
800.0,4737,8125.918983
0.0,4050,8152.371004
0.0,3464,8179.06974
0.0,3116,8203.037027
0.0,2454,8220.02462
800.0,4406,8250.650899
0.0,4091,8278.886201
1600.0,3660,8303.961083
0.0,2768,8323.063378
0.0,5622,8361.739272
0.0,4161,8389.848016
1600.0,8048,8444.663832
0.0,4511,8478.735608
0.0,3178,8504.619146
0.0,4173,8533.21881
0.0,4518,8563.889096
0.0,3647,8588.384868
0.0,4486,8618.485434
0.0,3463,8641.652674
800.0,4364,8671.296976
0.0,3666,8695.827391
800.0,5463,8732.754664
0.0,3870,8759.043735
0.0,5549,8796.563336
0.0,1545,8806.657349
0.0,2635,8824.1226
0.0,5271,8859.72254
0.0,5512,8897.307719
2400.0,4156,8925.701693
1600.0,4422,8955.633345
1600.0,3610,8980.16222
0.0,5646,9017.964355
800.0,4564,9048.883575
0.0,4433,9078.640937
0.0,4163,9107.725832
0.0,2545,9124.841979
0.0,3231,9147.262993
0.0,1587,9157.684109
0.0,2448,9174.186487
2400.0,5637,9212.118746
0.0,3682,9236.812557
0.0,3094,9257.585237
0.0,2105,9271.505304
800.0,5525,9308.842552
0.0,4487,9339.479187
0.0,4504,9369.494997
0.0,3979,9397.523373
1600.0,4754,9428.667367
0.0,4504,9458.44411
0.0,5431,9493.957169
0.0,3520,9517.125364
0.0,3512,9539.765255
0.0,3196,9560.513768
0.0,2648,9577.683109
0.0,3253,9598.887357
0.0,4054,9625.279423
0.0,3245,9646.233093
800.0,5567,9682.443713
0.0,3319,9703.76798
0.0,4780,9734.977777
0.0,4976,9767.288967
0.0,3058,9786.951878
0.0,5516,9822.796087
0.0,4629,9852.960447
0.0,2506,9869.435432
0.0,4956,9901.750767
1600.0,5230,9936.105671
0.0,8820,9993.647536
0.0,3758,10019.151526
1600.0,8480,10074.572291
800.0,5548,10110.869354
800.0,4530,10140.099312
1600.0,7528,10189.312652
0.0,2007,10202.045459
0.0,4180,10229.049552
0.0,3394,10251.100145
800.0,5564,10287.136694
1600.0,3810,10311.590924
0.0,5425,10346.587527
0.0,5646,10383.241938
800.0,7016,10428.657948
0.0,5426,10464.025278
1600.0,4163,10490.762613
0.0,4661,10521.005306
0.0,3990,10546.808327
800.0,9832,10610.825857
0.0,4752,10641.570202
0.0,3958,10667.213263
0.0,4936,10699.09272
0.0,5169,10732.587124
0.0,4147,10759.668662
0.0,4566,10789.123726
0.0,5254,10823.073879
800.0,5788,10860.433958
